"link"	"barcode"	"transposon_end"	"sampletype"	"library"	"sampleformat"	"compression"
"http://bushmanlab.org/data/export/everett/StGeme/Challenge_1.1.sam"	"N"	"N"	"target"	"lib1"	"sam"	"none"
"http://bushmanlab.org/data/export/everett/StGeme/Challenge_1.2.sam"	"N"	"N"	"target"	"lib1"	"sam"	"none"
"http://bushmanlab.org/data/export/everett/StGeme/Challenge_2.1.sam"	"N"	"N"	"target"	"lib1"	"sam"	"none"
"http://bushmanlab.org/data/export/everett/StGeme/Challenge_2.2.sam"	"N"	"N"	"target"	"lib1"	"sam"	"none"
"http://bushmanlab.org/data/export/everett/StGeme/Challenge_3.1.sam"	"N"	"N"	"target"	"lib1"	"sam"	"none"
"http://bushmanlab.org/data/export/everett/StGeme/Challenge_3.2.sam"	"N"	"N"	"target"	"lib1"	"sam"	"none"
"http://bushmanlab.org/data/export/everett/StGeme/Control_1.1.sam"	"N"	"N"	"control"	"lib1"	"sam"	"none"
"http://bushmanlab.org/data/export/everett/StGeme/Control_1.2.sam"	"N"	"N"	"control"	"lib1"	"sam"	"none"
"http://bushmanlab.org/data/export/everett/StGeme/Control_2.1.sam"	"N"	"N"	"control"	"lib1"	"sam"	"none"
"http://bushmanlab.org/data/export/everett/StGeme/Control_2.2.sam"	"N"	"N"	"control"	"lib1"	"sam"	"none"
"http://bushmanlab.org/data/export/everett/StGeme/Control_3.1.sam"	"N"	"N"	"control"	"lib1"	"sam"	"none"
"http://bushmanlab.org/data/export/everett/StGeme/Control_3.2.sam"	"N"	"N"	"control"	"lib1"	"sam"	"none"
